City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
lompoc,1,US,1609709927,67,34.64,-120.46,17.0,2.1
los llanos de aridane,75,ES,1609709970,88,28.66,-17.92,18.0,6.2
rio gallegos,40,AR,1609709981,24,-51.62,-69.22,15.0,13.4
college,90,US,1609710001,64,64.86,-147.8,-17.0,4.6
sibolga,82,ID,1609709988,75,1.74,98.78,24.25,1.57
berlevag,20,NO,1609709974,86,70.86,29.09,-1.0,7.2
geraldton,100,AU,1609709979,28,-28.77,114.6,28.0,9.3
thinadhoo,98,MV,1609710005,77,0.53,72.93,27.88,4.58
hithadhoo,99,MV,1609709968,75,-0.6,73.08,28.07,3.78
huancavelica,97,PE,1609710319,77,-12.77,-74.98,7.79,1.77
turan,75,VN,1609710319,93,16.07,108.22,19.0,1.0
anadyr,0,RU,1609709992,64,64.75,177.48,-17.0,7.0
dikson,20,RU,1609709976,86,73.51,80.55,-18.88,5.82
mehamn,20,NO,1609710319,86,71.04,27.85,2.0,7.2
te anau,64,NZ,1609710320,70,-45.42,167.72,14.51,0.73
kaduqli,74,SD,1609710320,27,11.02,29.72,23.86,3.66
sao filipe,69,CV,1609709997,78,14.9,-24.5,23.73,1.05
longyearbyen,40,SJ,1609710015,80,78.22,15.64,1.0,9.8
pochutla,20,MX,1609710320,58,15.74,-96.47,31.0,2.82
bredasdorp,93,ZA,1609709971,83,-34.53,20.04,21.0,5.1
paveh,0,IR,1609710320,77,35.04,46.36,1.8,2.77
llano de piedra,57,PA,1609710320,76,7.67,-80.57,26.88,1.96
lagoa,100,PT,1609709968,87,39.05,-27.98,16.99,16.63
kapaa,75,US,1609709969,69,22.08,-159.32,26.0,6.7
narrabri,75,AU,1609710320,69,-30.32,149.78,24.0,7.2
new norfolk,98,AU,1609709973,68,-42.78,147.06,17.78,0.45
mar del plata,0,AR,1609709989,61,-38.0,-57.56,27.0,6.7
flinders,99,AU,1609709975,98,-34.58,150.86,21.67,1.79
alofi,75,NU,1609710013,74,-19.06,-169.92,29.0,2.1
palmer,90,US,1609710320,74,42.16,-72.33,1.11,2.6
sar-e pul,0,AF,1609710321,59,35.83,66.17,-4.51,1.42
panaba,23,MX,1609710321,85,21.28,-88.27,24.84,3.94
bundaberg,79,AU,1609710321,88,-24.85,152.35,28.33,3.6
hobart,75,AU,1609709695,72,-42.88,147.33,17.22,2.1
nikolskoye,75,RU,1609709973,86,59.7,30.79,-2.0,2.0
pevek,8,RU,1609709973,89,69.7,170.31,-27.04,2.14
cap malheureux,0,MU,1609709997,85,-19.98,57.61,22.78,3.13
bismarck,1,US,1609710082,48,46.81,-100.78,7.0,4.1
hervey bay,88,AU,1609710321,78,-25.3,152.85,26.67,1.34
henties bay,90,NA,1609710321,85,-22.12,14.28,21.11,1.29
kupang,40,ID,1609709991,94,-10.17,123.58,24.0,1.5
ukiah,90,US,1609710321,76,39.15,-123.21,13.0,2.6
kargasok,100,RU,1609710321,86,59.06,80.86,-28.47,4.24
cuamba,96,MZ,1609710321,93,-14.8,36.54,20.79,0.3
paamiut,100,GL,1609710321,94,61.99,-49.67,-4.19,5.98
novikovo,96,RU,1609710321,97,51.15,37.89,-3.88,3.08
lovozero,100,RU,1609710010,97,68.0,35.01,-6.71,2.65
tasiilaq,100,GL,1609709981,92,65.61,-37.64,-3.0,11.8
marovoay,40,MG,1609710322,74,-16.1,46.63,27.0,2.1
sao felix do xingu,96,BR,1609710322,95,-6.64,-51.99,23.6,1.14
katsuura,75,JP,1609709988,55,35.13,140.3,3.0,3.1
methoni,100,GR,1609710322,87,36.82,21.7,13.89,1.5
otjiwarongo,100,NA,1609710322,68,-20.46,16.65,21.0,1.0
sur,0,OM,1609709979,35,22.57,59.53,19.84,6.98
paita,13,PE,1609710322,73,-5.09,-81.11,22.02,6.87
souillac,40,MU,1609709974,78,-20.52,57.52,25.0,5.1
esperance,75,AU,1609709972,87,-33.87,121.9,13.0,2.6
berdigestyakh,75,RU,1609710322,83,62.1,126.7,-36.36,1.01
ust-ilimsk,100,RU,1609710322,87,58.0,102.66,-25.9,4.03
lamu,1,KE,1609710322,78,-2.27,40.9,27.0,2.6
abu samrah,77,SY,1609710322,63,35.3,37.18,11.22,2.11
krasnoselkup,56,RU,1609710323,86,65.7,82.47,-29.13,4.18
qaanaaq,78,GL,1609709967,86,77.48,-69.36,-17.07,1.8
champerico,40,GT,1609710323,62,14.3,-91.92,32.0,4.1
cabo san lucas,20,MX,1609709712,49,22.89,-109.91,26.11,6.2
bima,91,ID,1609710323,85,-8.47,118.72,24.82,1.19
coquimbo,75,CL,1609709918,68,-29.95,-71.34,18.0,5.7
huilong,40,CN,1609710323,88,31.81,121.66,7.78,4.02
arys,90,KZ,1609710323,100,42.43,68.8,-7.0,3.3
bayan,0,CN,1609710323,86,46.08,127.4,-28.74,2.22
ginda,0,IN,1609710323,56,30.69,78.49,7.33,2.74
texarkana,1,US,1609710262,36,33.43,-94.05,17.0,6.2
taoudenni,0,ML,1609709982,26,22.68,-3.98,17.45,2.03
ocos,20,GT,1609710323,70,14.51,-92.19,32.0,4.1
pulandian,100,CN,1609710323,73,39.4,121.97,-6.0,1.0
khromtau,100,KZ,1609710323,94,50.25,58.43,-16.88,3.54
carnarvon,5,AU,1609709982,94,-24.87,113.63,24.0,5.7
moussoro,23,TD,1609710002,17,13.64,16.49,25.97,4.45
stjordalshalsen,0,NO,1609710324,85,63.47,10.93,-4.44,3.6
frekhaug,0,NO,1609710324,85,60.51,5.24,-1.67,1.5
castro,1,BR,1609710002,88,-24.79,-50.01,17.6,4.38
namatanai,100,PG,1609709985,70,-3.67,152.43,28.62,6.11
faanui,15,PF,1609709974,76,-16.48,-151.75,26.5,6.82
sitka,90,US,1609709986,81,57.05,-135.33,6.0,2.6
kaitangata,100,NZ,1609709978,76,-46.28,169.85,13.89,3.13
taltal,23,CL,1609710324,66,-25.4,-70.48,20.34,2.96
buluang,65,PH,1609710324,91,13.31,123.34,23.75,2.03
sao joao da barra,75,BR,1609710190,74,-21.64,-41.05,26.0,3.1
san patricio,20,US,1609709971,43,28.02,-97.52,22.78,3.1
sechelt,88,CA,1609710324,83,49.47,-123.77,10.56,1.34
kirakira,100,SB,1609709984,78,-10.45,161.92,28.43,4.43
faya,0,SA,1609710324,76,18.39,42.45,14.0,2.6
stokmarknes,75,NO,1609709706,93,68.56,14.91,3.0,2.1
worland,1,US,1609710324,63,44.02,-107.96,-2.22,2.6
khatanga,97,RU,1609709974,90,71.97,102.5,-21.66,4.84
tiksi,43,RU,1609709984,84,71.69,128.87,-30.96,1.51
bahia blanca,100,AR,1609710325,62,-38.72,-62.27,22.76,6.87
siaya,40,KE,1609710325,77,0.06,34.29,21.0,2.1
chirongui,20,YT,1609710325,83,-12.93,45.15,27.0,2.6
nikolayevka,6,RU,1609710325,96,53.13,47.2,-7.9,2.11
picos,82,BR,1609710325,59,-7.08,-41.47,26.92,1.11
gamba,97,GA,1609709998,90,-2.65,10.0,25.19,2.25
ugoofaaru,94,MV,1609709975,72,5.67,73.0,27.34,3.72
torbay,75,CA,1609710325,92,47.67,-52.73,0.56,7.7
manicore,100,BR,1609710325,98,-5.81,-61.3,21.75,1.47
hobe sound,40,US,1609710325,57,27.06,-80.14,27.22,4.1
kavieng,100,PG,1609709969,74,-2.57,150.8,29.02,7.63
matay,1,EG,1609710325,68,28.42,30.78,13.51,3.0
itarema,0,BR,1609710325,80,-2.92,-39.92,26.47,5.74
caravelas,50,BR,1609709983,82,-17.71,-39.25,25.18,3.54
haines junction,98,CA,1609710015,87,60.75,-137.51,-18.22,0.8
fairbanks,90,US,1609709715,64,64.84,-147.72,-17.0,4.6
axim,3,GH,1609710001,82,4.87,-2.24,26.21,2.91
erzincan,0,TR,1609710326,85,39.75,39.5,-6.0,0.5
nokaneng,16,BW,1609710326,78,-19.67,22.27,22.46,3.82
iqaluit,75,CA,1609709982,77,63.75,-68.51,-17.78,2.6
matamoros,20,MX,1609710326,25,25.53,-103.25,19.0,1.03
pitelino,100,RU,1609710326,98,54.58,41.81,-4.02,3.25
quatre cocos,40,MU,1609710001,78,-20.21,57.76,25.0,5.1
hillsborough,90,US,1609710326,81,37.57,-122.38,11.67,2.1
never,100,FR,1609710326,94,46.99,3.16,1.11,0.88
pahrump,40,US,1609710112,29,36.21,-115.98,15.56,0.45
aquiraz,20,BR,1609710327,78,-3.9,-38.39,28.0,3.6
grong,0,NO,1609710327,92,64.47,12.31,-9.0,5.1
port lincoln,100,AU,1609710327,74,-34.73,135.87,17.45,9.28
togur,100,RU,1609710327,87,58.36,82.83,-27.13,4.78
navrongo,0,GH,1609710327,22,10.9,-1.09,28.58,2.14
la ronge,100,CA,1609709791,92,55.1,-105.28,-7.0,1.5
tommot,100,RU,1609710327,85,58.96,126.29,-28.9,0.59
brae,22,GB,1609710327,69,60.4,-1.35,4.0,1.0
dubrovnik,75,HR,1609710327,76,42.65,18.09,10.0,1.5
xining,0,CN,1609709979,68,36.62,101.77,-11.8,1.18
porbandar,0,IN,1609710327,50,21.64,69.61,16.84,5.09
tairua,20,NZ,1609710328,63,-37.02,175.85,21.66,2.17
kloulklubed,90,PW,1609710002,83,7.04,134.26,27.0,5.7
iquique,0,CL,1609710125,57,-20.22,-70.14,24.0,7.7
saint george,1,US,1609709969,36,37.1,-113.58,10.56,1.5
tacoronte,100,ES,1609710328,65,28.48,-16.41,16.11,2.87
nanakuli,20,US,1609710328,61,21.39,-158.15,27.0,2.6
karratha,87,AU,1609709990,33,-20.74,116.85,32.79,5.79
west point,1,US,1609710328,47,33.61,-88.65,13.0,2.1
nyurba,95,RU,1609710328,84,63.28,118.33,-35.01,2.48
vulcan,88,RO,1609710328,90,45.38,23.27,4.09,1.45
pindwara,0,IN,1609710329,50,24.8,73.07,12.6,1.45
pimenta bueno,20,BR,1609710329,76,-11.67,-61.19,27.76,2.58
coahuayana,40,MX,1609709977,37,18.73,-103.68,28.0,2.17
peniche,43,PT,1609710014,88,39.36,-9.38,7.22,1.79
half moon bay,40,US,1609709984,100,37.46,-122.43,11.67,0.37
isangel,75,VU,1609709987,88,-19.55,169.27,28.0,2.6
adilabad,88,IN,1609710192,64,19.67,78.53,18.27,1.79
korla,23,CN,1609709975,83,41.76,86.15,-9.43,4.91
luderitz,61,NA,1609709993,73,-26.65,15.16,21.0,2.15
erzin,96,TR,1609710329,46,36.96,36.2,15.0,4.47
mozarlandia,36,BR,1609710330,83,-14.74,-50.57,24.44,5.2
port hedland,76,AU,1609710330,79,-20.32,118.57,30.0,3.6
panguna,94,PG,1609710330,79,-6.32,155.48,24.19,1.95
lazaro cardenas,6,MX,1609710007,52,17.96,-102.2,28.06,4.62
high level,40,CA,1609710330,83,58.52,-117.14,-20.0,1.5
cidreira,0,BR,1609709969,72,-30.18,-50.21,23.56,9.55
marsa matruh,40,EG,1609710330,93,31.35,27.25,13.0,3.08
buala,100,SB,1609710330,74,-8.14,159.59,28.49,4.52
batagay,98,RU,1609709990,81,67.63,134.63,-37.76,0.7
carbonia,40,IT,1609710049,86,39.17,8.52,5.0,2.6
horta,75,PT,1609710330,93,38.53,-28.63,17.0,15.9
nhulunbuy,40,AU,1609710330,94,-12.23,136.77,27.0,4.6
east london,36,ZA,1609709974,69,-33.02,27.91,24.19,1.45
barcelos,75,PT,1609710037,100,41.54,-8.62,6.0,2.1
japura,100,ID,1609710331,97,-0.32,102.35,22.61,0.88
potam,5,MX,1609710331,9,27.6,-110.38,26.11,4.6
semey,84,KZ,1609710331,83,50.41,80.23,-35.53,1.17
puerto baquerizo moreno,40,EC,1609710331,83,-0.9,-89.6,26.0,5.7
mamallapuram,20,IN,1609710331,88,12.63,80.17,25.0,1.5
porto novo,20,BJ,1609709985,83,6.5,2.6,29.0,5.1
havelock,1,US,1609710188,77,34.88,-76.9,17.22,5.1
coihaique,75,CL,1609710013,41,-45.58,-72.07,16.0,4.1
kaeo,0,NZ,1609710013,62,-35.1,173.78,24.44,0.89
nabire,100,ID,1609709979,87,-3.37,135.48,24.85,0.7
bom jardim,20,BR,1609710331,65,-7.8,-35.59,27.0,7.2
baherden,1,TM,1609710331,84,38.44,57.43,1.04,1.34
abalak,100,RU,1609710332,87,58.13,68.59,-27.07,4.11
porto santo,40,PT,1609710332,67,33.07,-16.34,16.0,6.2
sinop,73,TR,1609710332,59,41.77,34.87,7.18,3.92
rudbar,0,AF,1609710332,59,30.15,62.6,3.56,2.62
bairiki,75,KI,1609709998,94,1.33,172.98,26.0,5.1
salalah,0,OM,1609710009,77,17.02,54.09,21.0,2.1
veraval,0,IN,1609710332,50,20.9,70.37,17.35,5.22
salvador,20,SV,1609710332,66,13.83,-88.92,30.0,3.6
wagar,0,SD,1609710332,83,16.15,36.2,20.67,6.6
umm lajj,0,SA,1609710333,65,25.02,37.27,22.04,3.0
nouadhibou,0,MR,1609710333,56,20.93,-17.03,21.0,3.1
comodoro rivadavia,0,AR,1609709995,37,-45.87,-67.5,22.0,9.3
bodden town,20,KY,1609710333,42,19.28,-81.25,30.0,4.1
weyburn,98,CA,1609710316,60,49.67,-103.85,4.0,5.1
vila velha,20,BR,1609709970,94,-20.33,-40.29,27.22,2.6
dudinka,90,RU,1609710333,91,69.41,86.18,-17.0,3.0
atambua,99,ID,1609710333,85,-9.11,124.89,24.25,0.68
saint-augustin,11,CA,1609709977,87,51.23,-58.65,-10.11,0.74
kutum,19,SD,1609709974,28,14.2,24.67,16.72,3.6
port shepstone,14,ZA,1609710333,85,-30.74,30.45,22.31,2.71
kamenka,46,RU,1609709973,98,51.32,42.77,-6.74,2.79
waingapu,58,ID,1609710333,81,-9.66,120.26,26.12,2.18
sola,90,VU,1609710333,83,-13.88,167.55,29.0,3.95
pacific grove,1,US,1609710180,72,36.62,-121.92,16.0,2.6
yerbogachen,100,RU,1609710334,86,61.28,108.01,-29.77,2.55
lorengau,90,PG,1609709989,74,-2.02,147.27,28.43,1.52
san jose,75,US,1609710241,76,37.34,-121.89,15.56,2.1
hanzhong,97,CN,1609710334,75,33.07,107.03,3.31,0.17
upernavik,100,GL,1609709972,95,72.79,-56.15,-9.64,3.29
atocha,90,BO,1609710334,27,-20.93,-66.23,18.15,1.86
khorixas,100,NA,1609710334,60,-20.37,14.97,19.58,3.56
port-gentil,40,GA,1609709970,88,-0.72,8.78,28.0,3.1
canton,0,CN,1609710301,30,23.12,113.25,16.11,3.0
bilma,0,NE,1609709993,19,18.69,12.92,23.19,3.41
miles city,75,US,1609710334,55,46.41,-105.84,4.0,3.1
roma,90,US,1609710335,96,43.21,-75.46,0.0,4.1
kainantu,100,PG,1609710335,81,-6.29,145.87,18.8,0.21
laguna,90,US,1609710015,93,38.42,-121.42,14.44,0.98
maniitsoq,100,GL,1609710335,93,65.42,-52.9,-7.76,3.71
naze,75,JP,1609709969,87,28.37,129.48,16.0,3.6
nemuro,26,JP,1609710335,91,43.32,145.57,-6.71,5.32
riyadh,0,SA,1609709983,55,24.69,46.72,16.0,2.1
simoes,65,BR,1609710335,58,-7.6,-40.82,26.62,0.72
santa rosa,40,PH,1609710335,94,14.31,121.11,24.0,1.0
guerrero negro,39,MX,1609709981,47,27.98,-114.06,19.16,7.32
hamilton,90,US,1609710316,69,39.18,-84.53,3.33,4.1
jumla,100,NP,1609710335,55,29.27,82.18,7.2,1.73
cravo norte,45,CO,1609710336,56,6.3,-70.2,29.29,3.13
kabompo,91,ZM,1609710336,96,-13.59,24.2,17.9,0.39
sasina,100,BA,1609710336,93,44.8,16.74,3.0,1.5
dingle,98,PH,1609709989,92,11.0,122.67,23.78,3.62
maneadero,42,MX,1609710336,78,31.72,-116.57,16.67,1.34
cherskiy,100,RU,1609709987,85,68.75,161.3,-32.22,1.6
camacha,40,PT,1609709998,67,33.08,-16.33,16.0,6.2
talakan,1,RU,1609710336,83,50.32,130.37,-31.04,0.85
narsaq,100,GL,1609709989,68,60.92,-46.05,-3.0,2.1
bambanglipuro,100,ID,1609710336,86,-7.95,110.28,24.69,1.36
north myrtle beach,1,US,1609710336,45,33.82,-78.68,19.0,4.1
remanso,74,BR,1609710336,59,-9.62,-42.08,27.87,2.46
baiyin,0,CN,1609710336,64,36.56,104.21,-7.22,3.0
shahreza,2,IR,1609710273,69,32.03,51.88,0.75,1.68
fort morgan,1,US,1609710336,42,40.25,-103.8,7.0,1.24
callaway,1,US,1609710337,54,30.15,-85.57,16.11,4.1
puerto del rosario,20,ES,1609710337,63,28.5,-13.86,18.0,3.6
viedma,100,AR,1609710296,53,-40.81,-63.0,19.21,3.32
portland,75,US,1609709707,71,45.52,-122.68,11.11,3.6
bubaque,0,GW,1609710337,72,11.28,-15.83,26.88,6.29
general pico,99,AR,1609710337,41,-35.66,-63.76,24.76,4.51
komsomolskiy,90,UZ,1609710337,85,40.43,71.72,-5.0,1.0
otane,10,NZ,1609710337,61,-39.88,176.63,23.33,1.79
samarai,100,PG,1609710009,77,-10.62,150.67,29.0,7.25
santa maria del oro,0,MX,1609710337,20,25.93,-105.37,19.62,2.67
cabedelo,20,BR,1609710337,83,-6.98,-34.83,27.0,5.7
svetlyy,90,RU,1609710337,92,54.67,20.13,-1.0,7.0
banda aceh,100,ID,1609709986,83,5.56,95.32,25.68,5.14
fare,23,PF,1609710338,76,-16.7,-151.02,26.68,7.01
koboko,24,UG,1609710338,63,3.41,30.96,19.92,0.91
airai,100,TL,1609709975,100,-8.93,125.41,16.77,0.84
atbasar,96,KZ,1609709984,84,51.8,68.33,-27.36,4.74
itoman,75,JP,1609710246,82,26.12,127.67,19.0,2.6
sao jose da coroa grande,0,BR,1609710338,76,-8.9,-35.15,26.13,4.89
aksha,80,RU,1609710338,79,50.28,113.29,-22.24,4.53
foam lake,97,CA,1609710338,74,51.65,-103.53,2.0,4.6
saint-francois,90,FR,1609709991,98,46.42,3.91,0.0,1.0
ahipara,0,NZ,1609710339,53,-35.17,173.17,23.4,1.02
husavik,0,IS,1609710011,65,66.04,-17.34,7.0,13.4
kurchum,2,KZ,1609710339,83,48.57,83.65,-30.56,0.94
baykit,79,RU,1609710339,79,61.67,96.37,-29.58,2.58
estelle,20,US,1609710339,48,29.85,-90.11,15.0,1.5
sabha,98,LY,1609710339,37,27.04,14.43,18.33,3.23
selma,90,US,1609710339,71,36.57,-119.61,15.0,1.62
kinango,75,KE,1609710339,88,-4.14,39.32,27.0,1.0
ostrovnoy,91,RU,1609709970,94,68.05,39.51,-11.77,3.17
aklavik,75,CA,1609709984,75,68.22,-135.01,-25.0,3.1
sovetskiy,100,RU,1609710339,90,61.36,63.58,-24.5,3.11
skelleftea,15,SE,1609710339,84,64.75,20.95,-11.67,2.1
kharp,98,RU,1609710339,84,66.8,65.81,-31.21,2.56
andijon,0,UZ,1609710340,79,40.78,72.34,-7.0,2.0
vila franca do campo,75,PT,1609710340,87,37.72,-25.43,16.0,10.3
mindelo,20,CV,1609710340,64,16.89,-24.98,23.0,0.5
karla,90,EE,1609710340,86,59.37,24.93,-1.0,1.5
urucara,80,BR,1609710340,93,-2.54,-57.76,24.94,0.88
ponta delgada,75,PT,1609710340,87,37.73,-25.67,16.0,10.3
thompson,90,CA,1609709977,84,55.74,-97.86,-16.0,3.6
bang saphan,93,TH,1609710340,66,11.21,99.51,26.11,3.34
vallenar,0,CL,1609709997,36,-28.57,-70.76,26.48,3.45
sisimiut,100,GL,1609710340,95,66.94,-53.67,-8.9,1.16
dongobesh,100,TZ,1609710340,98,-4.07,35.38,14.19,2.32
san antonio,1,US,1609709942,34,29.42,-98.49,20.56,5.1
barcelona,20,ES,1609710197,64,41.39,2.16,4.44,3.6
chipata,44,ZM,1609710340,96,-13.63,32.65,17.48,1.95
fairview,90,US,1609710244,86,40.81,-74.0,3.33,6.2
wajima,89,JP,1609710340,79,37.4,136.9,4.08,1.56
pindi bhattian,0,PK,1609710341,95,31.9,73.27,11.61,3.19
aripuana,100,BR,1609710341,90,-9.17,-60.63,24.84,0.77
ambilobe,100,MG,1609710341,80,-13.2,49.05,23.29,1.57
tahoua,0,NE,1609710341,26,14.89,5.27,26.0,1.4
lloydminster,75,CA,1609710341,92,53.28,-110.0,0.0,4.6
